venue_id,name
376,Bellefonte Arts Festival
378,The Delaware Film Company
380,Bowers Beach Maritime Museum
381,Between Books
382,Westminster Presbyterian Church
384,St. Martha's Episcopal Church (Bethany Beach)
385,Centreville Civic Association Concerts in the Park
386,Canby Grove Park
387,"Battery Park, New Castle"
388,Bethany Beach Bandstand
389,Town of Bethany Beach
390,Woodlawn Library
391,Newark Senior Center
392,Dravo Plaza
395,"Legislative Mall, Dover"
396,Pennsylvania Guild of Craftsmen
398,Ocean Pines Association
399,White Horse Park
400,Jesus Love Temple
401,New Castle Public Library
402,Appoquinimink Public Library
403,Bear Public Library
404,Claymont Branch Library
405,Delaware City Library
406,Elsmere Library
407,Garfield Park Lending Library
408,Hockessin Public Library
409,Newark Free Library
410,Wilmington Public Library
411,North Wilmington Branch Library
413,"University of Delaware, Mineralogical Museum"
414,Dover Spouses' Club
415,Delaware State Fairgrounds
417,Your Creation Station
418,Delaware Public Archives
420,The Atlantic Harmony Brigade
422,New Castle Summer Concerts Committee
423,"Battery Park, Delaware City"
424,Millsboro Little League Complex
425,Union City Grille
434,Ocean City Convention Center
435,"National League of American Pen Women, Holly Branch"
436,Delaware Agricultural Museum and Village
437,Silver Lining Quartet
438,Washington Street Ale House
439,Lewes Artists' Studio Tour
440,Kent Sussex Quilt Guild
441,Newark Performing Arts
442,True Light Productions
443,God's Power and Light Co.
444,"University of Delaware, Morris Library"
445,St. Anthony of Padua Church
446,Bootless Stageworks
447,Red Robin
450,Delaware City (city of)
451,352 Downs Chapel Rd
452,Adas Kodesch Shel Emeth
457,Eagle's Nest Fellowship Church
458,Woodbridge High School
459,Community Lutheran Church
463,Willingtown Square
464,the baby grand
466,Wilmington Riverfront
468,Friends of the Georgetown Public Library
469,CHEER Community Center - Georgetown
470,Kent County Theatre Guild
471,First State Heritage Park Welcome Center
472,Georgia House
473,205 Lavinia Street Gallery
474,Green Willow Folk Club
475,"University of Delaware, Memorial Hall"
476,Elwyn
477,Peninsula Community Church
478,School Day Theater
479,Seaford Community Concert Association
480,Central Middle School Auditorium
482,Gallery One
483,Holy Trinity Greek Orthodox Church
484,Howard Pyle Studio
485,Videll's Day Spa
486,Santa House
487,The Circle in Georgetown
488,Down's Cultural Enrichment           Center
489,Faith Baptist Church
490,AbleArts
492,"Stone Stable, Odessa"
493,JD Kurtz/ New Moon Rugs
494,Newcomers Club of Dover
495,Rockwood Park & Museum
496,Stone Balloon Ale House
497,Wyoming United Methodist Church
498,Church of the Nazarene
499,St. John's United Methodist Church
500,Rehoboth Beach Main Street
504,Reedy Point Players Ltd.
505,Delaware City Community Center
506,"Delaware State University, Theater and Dance Program"
507,Air Mobility Command Museum
508,Dover Air Force Base Arts & Crafts Center
509,The Lorelton
510,Sacred Heart Oratory
513,Redding Gallery
514,Kidzworx Multicultural Arts and Entrepreneurial Program
516,"The Music School of Delaware, Milford Branch"
517,Newark United Methodist Church
518,Laurel Historical Society
519,Wilmington Handbell Ensemble
520,The Evangelical Lutheran Church of the Good Shepherd
522,Rehoboth Beach Writers Guild
523,Super G Upstairs Conference Room
524,"Old Christ Church, Laurel"
525,"Wesley United Methodist Church, Georgetown"
526,Juleez
527,"Piffaro, The Renaissance Band"
528,Seafood Shack
529,Cornerstone Church - Dover
534,Frog Hollow Golf Club
535,Delaware State University
536,Milford Santa House
539,Wesley College Dept. of Literature and Languages
540,St. Philip's Episcopal Church
541,"Campton Productions, LLC"
542,Bethany Blues Lewes
543,St. Thomas Episcopal Church
544,The Joe Trainor Trio
545,Delaware Theatre Association
547,United Legends of America
548,Cab Calloway School of the Arts
550,Stewart's Brewing Company
551,Delaware Children's Museum
552,St. Mark's High School
553,P.S. duPont Middle School
554,Limestone Presbyterian Church
555,Newark Center for Creative Learning
556,Beebe Health Campus
557,Arden Craft Shop Museum
558,Lutheran Church of Our Savior
560,Delaware Greenways
562,Parson Thorne Mansion
563,Brandywine Festival of the Arts
564,Brandywine Park - Wilmington State Parks
565,Newark Film Festival
566,Newark Cinema Center 3
567,E-52 Student Theatre
568,Light Up The Queen Foundation
569,Justison Landing Park
570,DuPont Nature Center
571,Harmony on the Hill
572,Wilmington Friends Meeting
573,Wicomico Presbyterian Church
574,"St. Marks United Methodist Church, Easton"
577,The Cove
578,The Lighthouse
579,Wilmington Trust Lobby
580,Wilmington Hall by Timothy's
582,Inner Light Theatre
583,Main Street (Newark)
584,Lewes Canalfront Park
586,Tubman-Garrett Riverfront Park
587,"World Music, Inc."
588,Field Theater - Arden Town Green
589,Arden Shakespeare Gild
590,International Ballet Classique
591,"Neumann University, Meagher Theatre"
592,Delaware Today Magazine
593,Nutter Park
594,"Eastern Shore AFRAM Festival, Inc."
595,Academy of International Ballet
596,"Latino Initiative on Restorative Justice, Inc."
600,Over Coffee Cafe
601,Que Pasa
602,Holy Cross Church
603,Lewes' Artists Studio Tour
604,Bridgeville Public Library
608,Meet Your Sisters at the Well
611,Safeway Store
612,Brandywine High School
613,Grace Episcopal Church
614,"Prudential Gallo, REALTORS-Touch Of Italy Foundation"
615,"MDC Investment Group, Inc."
616,Judy Johnson Park
618,Mezzanine Auditorium
619,Cool Spring Reservoir Park
620,Wilmington Alliance
621,Pizzadili Winery
622,"The Salvation Army, Creative heARTs program"
625,"Pieces of a Dream, Inc."
626,Danceworks Dance Studio
627,Resident Ensemble Players
628,The Village of Arden
629,The Cool Dog Concert Series
630,Deerfield Golf and Tennis Club
631,Reach Academy for Girls
633,Concordia Lutheran Church
634,"Wings of Faith Kingdom Ministries, Inc."
636,McGlynn's Pub
637,Sheraton Hotel Conference Center
639,Flint Woods Preserve
641,Lydia Black Cannon Museum
642,Little Italy Neighborhood Association
645,Blackbird Creek Reserve
647,Delaware National Estuarine Research Reserve
650,Rehoboth Beach Museum
651,Whereabouts Cafe
652,Tower Hill School
653,"University of Delaware, Smith Hall"
654,Dickens Parlour Theatre
657,Delaware Chamber Music Festival
659,Middletown High School
660,Delaware County Symphony
661,The Christmas Shop Foundation
662,The Buttery
663,Timothy's Riverfront Grill and Hall
665,Wilmington Ballet Academy of the Dance
667,Gateway Garden Center
669,Delaware Heritage Commission
670,Camden Meeting Friends
671,"The Green, Dover"
672,Asbury United Methodist Church
673,Indian River High School
674,Union United Methodist Church
675,Christ Church Easton
676,"St. Paul's Episcopal Church, Centreville"
677,Northern Delaware Oratorio Society
678,"Barnes & Noble, Christiana Mall"
680,Delcastle Technical High School
681,Wilmington Christian School Fine Arts Auditorium
683,Immanuel Episcopal Church on the Green
684,Christ Church Christiana Hundred
685,Delaware Press Association
686,Angelucci Studios & Artists' Gallery
687,NCM Fathom
689,"American Association of University Women (AAUW), Wilmington Branch"
690,Concord Mall
691,First State Ringers
692,Shipley Lofts
693,Greenville Country Club
694,Dover Newsstand & Cafe
695,"Pettinaro Management, LLC"
696,Veritas Wine and Spirits
697,Milton Fire Hall
698,Trinity Center for Urban Life
700,"Wesley College, College Center"
702,Appoquinimink High School
704,Bethany Baptist Church
705,"Barnes & Noble, Concord Square"
706,Dogfish Head Brewings & Eats
707,A.I. duPont Middle School
709,"University of Delaware, Pearson Hall Auditorium"
710,Possum Point Players Theatre
711,The Written Remains Writers Guild
712,Sussex Technical High School
713,"Wesley College, Parker Library"
714,"Delaware Dance Alliance, LLC"
715,Marple Public Library
718,Dover High School
719,People to People Delaware
720,Brandywine River Museum of Art
722,Friends of Historic Camden
723,Rockford Park
724,Wilmington State Parks
726,The Centre Ice Rink
728,Cape May-Lewes Ferry
729,The Den at Bear Trap Dunes
731,Browseabout Books
732,Sussex Academy of Arts and Sciences
733,Milford Parks and Recreation Meeting Room
734,Debbie's Fund for Animals
735,Gallery 919 Market
736,Archmere Academy Performing Arts Center
739,George Wilson Center
740,Allies for Racial Justice
741,First Unitarian Church of Wilmington
742,Kent County Mobile Library
743,Brecknock County Park
744,Big Oak County Park
745,Browns Branch County Park
746,Calvary Pentecostal Church
747,Trap Pond State Park
748,Seaford Farmer's Market
749,Packard Reath Gallery
751,Delaware City Main Street
754,Live Cheap and Make Art Studios
755,Nanticoke River Arts Council
756,Act Two Florist
758,Oxford Presbyterian Church
759,Oxford Area High School Auditorium
761,Dance Moves and Manners
762,"Copeland Room, Delaware History Museum"
763,Lincoln Square Blue
764,Lincoln Square Red
765,Lincoln Square Green
766,The Arts at Trinity
767,Trinity Episcopal Church
768,Cokesbury Village
769,"University of Delaware, Athletic Complex"
771,Chris White Gallery (Shipley Lofts Building)
772,Delaware Arts Alliance
774,Congregation Beth Emeth
775,Rusty Rudder
776,Outlook at the Duncan Center
778,The Labyrinth at First & Central
781,Delaware River Pottery
782,John Bell House
783,Rose Cottage
784,The Burslem Studio
786,Nothing But Treble
787,"Accent Music, Inc"
788,MOJO Main
789,New Castle County Art Studio
791,Siegel JCC
792,The Bellmoor Inn & Spa
793,Gallery 107
