venue_id,name
1141,"St. Marks United Methodist Church, Wilmington"
1142,"St. Paul's Episcopal Church, Georgetown"
1143,Harrington Raceway & Casino
1144,Happy Feet Soul Line Dance Network LLC
1145,Fordham & Dominion Brewing Co.
1146,Peniel United Methodist Church
1147,"Barnes & Noble, University of Delaware Bookstore"
1148,Ubon Thai Cuisine
1149,Kevin Fleming Photography
1151,"The Elks Lodge, Salisbury, MD"
1153,Delaware Watercolor Society
1154,"International House, Philadelphia"
1155,Metropolitan Community Church
1156,Glasgow Church
1158,Causey Mansion Bed & Breakfast
1159,Millsboro Cupola Park
1160,One Greenville Crossing
1161,Salem County Fairgrounds
1162,The Salted Rim
1163,Ed Oliver Golf Club
1164,Carousel Park
1165,American Pops Orchestra
1167,Schoonover Studios Ltd.
1168,Stuart Kingston Galleries
1169,Central Delaware Blues Society
1170,Jonathan's Landing
1171,Ivy Restaurant
1172,Realize Records
1173,Odessa National Golf Club
1174,Nanticoke Senior Center
1175,Gable Music Ventures
1176,"St. Edmond's Academy, The Rollins Center for the Performing Arts"
1177,IN Wilmington
1178,Diamond State Concert Band
1179,2nd & LOMA
1180,"Berkana, Center for Media and Education"
1181,The Renewal Center
1182,Unbranded Dance
1183,The Geipel Center at Sanford School
1184,Delaware Public Media - WDDE
1185,Barry's Events
1186,La Esperanza
1187,American Birding Association
1188,Udaan
1189,Gauger-Cobbs Middle School
1190,Save the Valley
1192,Indy Hall at Independence
1193,Coverdale Farm Preserve
1194,Garfield Park Community Recreation Center
1195,Oddity Bar
1196,Independence Homeowners' Association Committee and Clubhouse
1198,The Cathedral of Saint Peter
1199,Christ Church Dover
1200,"The Pyrates Way, LLC"
1201,"West Chester University, Ware Family Recital Hall"
1203,Christiana Mall
1204,Movies at the Riverfront Theater
1205,"St. Mark's Episcopal Church, Millsboro"
1206,"True Blue Jazz, Inc."
1207,OperaDelaware Black Box
1209,Ayre Craft
1210,Milton Century Club
1212,Delaware Ballet
1213,Jawanza Kobie Band
1214,Lighthouse Dance & Yoga
1216,The Eastern Shore Bluegrass Association
